Code,Branch / Collection Label,Location Name,Refinery ID,Refinery slug,lat,lng,Research
ag,Aguilar,Aguilar Library,AG,aguilar,-73.9436,40.7943,FALSE
aga,Aguilar Adult,Aguilar Library,AG,aguilar,-73.9436,40.7943,FALSE
aga01,Aguilar Reference,Aguilar Library,AG,aguilar,-73.9436,40.7943,FALSE
aga03,Aguilar Closed Shelf Reference,Aguilar Library,AG,aguilar,-73.9436,40.7943,FALSE
aga0f,Aguilar Fiction,Aguilar Library,AG,aguilar,-73.9436,40.7943,FALSE
aga0l,Aguilar World Languages,Aguilar Library,AG,aguilar,-73.9436,40.7943,FALSE
aga0n,Aguilar Non-Fiction,Aguilar Library,AG,aguilar,-73.9436,40.7943,FALSE
aga0v,Aguilar Non-Print Media,Aguilar Library,AG,aguilar,-73.9436,40.7943,FALSE
aga0w,Aguilar Center for Reading & Writing,Aguilar Library,AG,aguilar,-73.9436,40.7943,FALSE
agar,Aguilar Adult Reference,Aguilar Library,AG,aguilar,-73.9436,40.7943,FALSE
agj,Aguilar Children,Aguilar Library,AG,aguilar,-73.9436,40.7943,FALSE
agj01,Aguilar Children's Reference,Aguilar Library,AG,aguilar,-73.9436,40.7943,FALSE
agj0a,Aguilar Children's Easy Book,Aguilar Library,AG,aguilar,-73.9436,40.7943,FALSE
agj0f,Aguilar Children's Fiction,Aguilar Library,AG,aguilar,-73.9436,40.7943,FALSE
agj0h,Aguilar Children's Holiday Book,Aguilar Library,AG,aguilar,-73.9436,40.7943,FALSE
agj0i,Aguilar Children's Picture Book,Aguilar Library,AG,aguilar,-73.9436,40.7943,FALSE
agj0l,Aguilar Children's World Languages,Aguilar Library,AG,aguilar,-73.9436,40.7943,FALSE
agj0n,Aguilar Children's Non-Fiction,Aguilar Library,AG,aguilar,-73.9436,40.7943,FALSE
agj0t,Aguilar Children's Fairy Tale,Aguilar Library,AG,aguilar,-73.9436,40.7943,FALSE
agj0v,Aguilar Children's Non-Print Media,Aguilar Library,AG,aguilar,-73.9436,40.7943,FALSE
agj0y,Aguilar Children's Young Reader,Aguilar Library,AG,aguilar,-73.9436,40.7943,FALSE
agjr,Aguilar Children's Reference,Aguilar Library,AG,aguilar,-73.9436,40.7943,FALSE
agy,Aguilar Young Adult,Aguilar Library,AG,aguilar,-73.9436,40.7943,FALSE
agy01,Aguilar YA Reference,Aguilar Library,AG,aguilar,-73.9436,40.7943,FALSE
agy0f,Aguilar YA Fiction,Aguilar Library,AG,aguilar,-73.9436,40.7943,FALSE
agy0l,Aguilar YA World Languages,Aguilar Library,AG,aguilar,-73.9436,40.7943,FALSE
agy0n,Aguilar YA Non-Fiction,Aguilar Library,AG,aguilar,-73.9436,40.7943,FALSE
agy0v,Aguilar YA Non-Print Media,Aguilar Library,AG,aguilar,-73.9436,40.7943,FALSE
agyr,Aguilar Young Adult Reference,Aguilar Library,AG,aguilar,-73.9436,40.7943,FALSE
agzzz,Aguilar (error code),Aguilar Library,AG,aguilar,-73.9436,40.7943,FALSE
al,Allerton,Allerton Library,AL,allerton,-73.8632,40.866,FALSE
ala,Allerton Adult,Allerton Library,AL,allerton,-73.8632,40.866,FALSE
ala01,Allerton Reference,Allerton Library,AL,allerton,-73.8632,40.866,FALSE
ala03,Allerton Closed Shelf Reference,Allerton Library,AL,allerton,-73.8632,40.866,FALSE
ala0f,Allerton Fiction,Allerton Library,AL,allerton,-73.8632,40.866,FALSE
ala0l,Allerton World Languages,Allerton Library,AL,allerton,-73.8632,40.866,FALSE
ala0n,Allerton Non-Fiction,Allerton Library,AL,allerton,-73.8632,40.866,FALSE
ala0v,Allerton Non-Print Media,Allerton Library,AL,allerton,-73.8632,40.866,FALSE
alar,Allerton Adult Reference,Allerton Library,AL,allerton,-73.8632,40.866,FALSE
alj,Allerton Children,Allerton Library,AL,allerton,-73.8632,40.866,FALSE
alj01,Allerton Children's Reference,Allerton Library,AL,allerton,-73.8632,40.866,FALSE
alj0a,Allerton Children's Easy Book,Allerton Library,AL,allerton,-73.8632,40.866,FALSE
alj0f,Allerton Children's Fiction,Allerton Library,AL,allerton,-73.8632,40.866,FALSE
alj0h,Allerton Children's Holiday Book,Allerton Library,AL,allerton,-73.8632,40.866,FALSE
alj0i,Allerton Children's Picture Book,Allerton Library,AL,allerton,-73.8632,40.866,FALSE
alj0l,Allerton Children's World Languages,Allerton Library,AL,allerton,-73.8632,40.866,FALSE
alj0n,Allerton Children's Non-Fiction,Allerton Library,AL,allerton,-73.8632,40.866,FALSE
alj0t,Allerton Children's Fairy Tale,Allerton Library,AL,allerton,-73.8632,40.866,FALSE
alj0v,Allerton Children's Non-Print Media,Allerton Library,AL,allerton,-73.8632,40.866,FALSE
alj0y,Allerton Children's Young Reader,Allerton Library,AL,allerton,-73.8632,40.866,FALSE
aljr,Allerton Children's Reference,Allerton Library,AL,allerton,-73.8632,40.866,FALSE
